Shipping ID,Ship Mode,Courier,Order Date,Delivered Date,Delivery Timing,"City, State and Postal code"
BK-2023-5816680,Second Class,Hero Van,2023-05-07,2023-05-27,On time,Johor Bahru-Johor-80000
BK-2023-748862,Second Class,Hero Van,2023-05-17,2023-06-06,On time,Kota Kinabalu-Sabah-88000
BN-2023-1313270,Second Class,Hero Van,2023-05-10,2023-05-20,Early,Kuching-Sarawak-93000
BN-2023-1814595,Standard Class,Parcel Express,2023-05-19,2023-05-29,Early,Kuala Lumpur-Wilayah Persekutuan-50000
BN-2023-1960906,Standard Class,HomeLaju,2023-05-15,2023-06-04,On time,George Town-Penang-10200
BN-2023-2049873,First Class,Parcel Express,2023-05-19,2023-06-18,Late,Johor Bahru-Johor-80000
BN-2023-2277499,First Class,Hero Van,2023-05-28,2023-06-17,On time,Kota Kinabalu-Sabah-88000
BN-2023-335591,Standard Class,Parcel Express,2023-05-01,2023-05-31,Late,Kuching-Sarawak-93000
BN-2023-3464509,Standard Class,HomeLaju,2023-05-02,2023-05-22,On time,Kuala Lumpur-Wilayah Persekutuan-50000
BN-2023-3567608,Standard Class,Hero Van,2023-05-21,2023-05-31,Early,George Town-Penang-10200
BN-2023-3583902,Standard Class,Parcel Express,2023-05-12,2023-06-11,Late,Johor Bahru-Johor-80000
BN-2023-3628043,Second Class,Hero Van,2023-05-21,2023-05-31,Early,Kota Kinabalu-Sabah-88000
BN-2023-4054005,Second Class,Hero Van,2023-05-16,2023-05-26,Early,Kuching-Sarawak-93000
BN-2023-4718296,Second Class,HomeLaju,2023-05-03,2023-05-23,On time,Kuala Lumpur-Wilayah Persekutuan-50000
BN-2023-4860,Standard Class,Parcel Express,2023-05-01,2023-05-31,Late,George Town-Penang-10200
BN-2023-5063629,Second Class,Parcel Express,2023-05-17,2023-06-06,On time,Johor Bahru-Johor-80000
BN-2023-5193109,Second Class,Parcel Express,2023-05-05,2023-06-04,Late,Kota Kinabalu-Sabah-88000
BN-2023-5551356,Standard Class,Parcel Express,2023-05-20,2023-06-19,Late,Kuching-Sarawak-93000
BN-2023-5575087,Standard Class,Hero Van,2023-05-27,2023-06-06,Early,Kuala Lumpur-Wilayah Persekutuan-50000
BN-2023-5873034,Standard Class,Hero Van,2023-05-01,2023-05-31,Late,George Town-Penang-10200
BN-2023-9200,Standard Class,Hero Van,2023-05-17,2023-05-27,Early,Johor Bahru-Johor-80000
BO-2023-1048239,Standard Class,Hero Van,2023-05-01,2023-05-21,On time,Kota Kinabalu-Sabah-88000
BO-2023-1148025,Standard Class,Parcel Express,2023-05-24,2023-06-13,On time,Kuching-Sarawak-93000
BO-2023-1332008,Second Class,Hero Van,2023-05-16,2023-06-05,On time,Kuala Lumpur-Wilayah Persekutuan-50000
BO-2023-1426768,First Class,Hero Van,2023-05-02,2023-05-22,On time,George Town-Penang-10200
BO-2023-1589068,First Class,HomeLaju,2023-05-05,2023-05-25,On time,Johor Bahru-Johor-80000
BO-2023-170,First Class,Hero Van,2023-05-04,2023-05-14,Early,Kota Kinabalu-Sabah-88000
BO-2023-1830824,First Class,Hero Van,2023-05-06,2023-05-26,On time,Kuching-Sarawak-93000
BO-2023-185796,First Class,HomeLaju,2023-05-26,2023-06-15,#DIV/0!,Kuala Lumpur-Wilayah Persekutuan-50000
BO-2023-1892122,Standard Class,Hero Van,2023-05-08,2023-06-07,#DIV/0!,George Town-Penang-10200
BO-2023-1955891,Standard Class,Parcel Express,2023-05-19,2023-05-29,#DIV/0!,Johor Bahru-Johor-80000
BO-2023-2318226,Standard Class,HomeLaju,2023-05-11,2023-05-21,#DIV/0!,Kota Kinabalu-Sabah-88000
BO-2023-2349990,Standard Class,Parcel Express,2023-05-09,2023-05-29,#DIV/0!,Kuching-Sarawak-93000
BO-2023-2351336,Second Class,Parcel Express,2023-05-27,2023-06-26,#DIV/0!,Kuala Lumpur-Wilayah Persekutuan-50000
BO-2023-2398655,Second Class,HomeLaju,2023-05-17,2023-06-06,#DIV/0!,George Town-Penang-10200
BO-2023-265739,Standard Class,Hero Van,2023-05-23,2023-06-22,#DIV/0!,Johor Bahru-Johor-80000
BO-2023-2670,Standard Class,Hero Van,2023-05-22,2023-06-01,#DIV/0!,Kota Kinabalu-Sabah-88000
BO-2023-2761829,Standard Class,Hero Van,2023-05-26,2023-06-25,#DIV/0!,Kuching-Sarawak-93000
BO-2023-2932381,Standard Class,Hero Van,2023-05-12,2023-06-01,#DIV/0!,Kuala Lumpur-Wilayah Persekutuan-50000
BO-2023-3061799,Second Class,HomeLaju,2023-05-18,2023-06-07,#DIV/0!,George Town-Penang-10200
BO-2023-3064036,Second Class,Parcel Express,2023-05-28,2023-06-17,#DIV/0!,Johor Bahru-Johor-80000
BO-2023-325479,Second Class,Hero Van,2023-05-06,2023-06-05,#DIV/0!,Kota Kinabalu-Sabah-88000
BO-2023-3381720,Second Class,Parcel Express,2023-05-20,2023-06-19,#DIV/0!,Kuching-Sarawak-93000
BO-2023-344515,Second Class,HomeLaju,2023-05-06,2023-05-26,#DIV/0!,Kuala Lumpur-Wilayah Persekutuan-50000
BO-2023-3541022,Second Class,Hero Van,2023-05-26,2023-06-15,#DIV/0!,George Town-Penang-10200
BO-2023-3552012,Second Class,HomeLaju,2023-05-16,2023-06-05,#DIV/0!,Johor Bahru-Johor-80000
BO-2023-364086,First Class,HomeLaju,2023-05-23,2023-06-02,Early,Kota Kinabalu-Sabah-88000
BO-2023-3688017,First Class,Parcel Express,2023-05-07,2023-05-27,On time,Kuching-Sarawak-93000
BO-2023-3767839,First Class,Hero Van,2023-05-13,2023-06-02,On time,Kuala Lumpur-Wilayah Persekutuan-50000
BO-2023-3789990,First Class,HomeLaju,2023-05-16,2023-05-26,Early,George Town-Penang-10200
BO-2023-3844715,First Class,Parcel Express,2023-05-21,2023-06-20,Late,Johor Bahru-Johor-80000
BO-2023-3979097,Standard Class,HomeLaju,2023-05-24,2023-06-13,On time,Kota Kinabalu-Sabah-88000
BO-2023-4218518,Standard Class,Parcel Express,2023-05-01,2023-05-11,Early,Kuching-Sarawak-93000
BO-2023-4446438,Standard Class,HomeLaju,2023-05-08,2023-05-18,Early,Kuala Lumpur-Wilayah Persekutuan-50000
BO-2023-4500982,Standard Class,Hero Van,2023-05-27,2023-06-26,Late,George Town-Penang-10200
BO-2023-4651945,Standard Class,Hero Van,2023-05-27,2023-06-16,On time,Johor Bahru-Johor-80000
BO-2023-4683526,Standard Class,Hero Van,2023-05-11,2023-06-10,Late,Kota Kinabalu-Sabah-88000
BO-2023-4734469,Second Class,HomeLaju,2023-05-16,2023-06-15,Late,Kuching-Sarawak-93000
BO-2023-4975781,Standard Class,Parcel Express,2023-05-05,2023-05-15,Early,Kuala Lumpur-Wilayah Persekutuan-50000
BO-2023-5095517,Standard Class,HomeLaju,2023-05-02,2023-05-12,Early,George Town-Penang-10200
BO-2023-5117977,Standard Class,HomeLaju,2023-05-15,2023-06-04,On time,Johor Bahru-Johor-80000
BO-2023-5124365,First Class,Parcel Express,2023-05-06,2023-06-05,Late,Kota Kinabalu-Sabah-88000
BO-2023-5157791,Second Class,Hero Van,2023-05-21,2023-05-31,Early,Kuching-Sarawak-93000
BO-2023-527935,Second Class,HomeLaju,2023-05-14,2023-06-13,Late,Kuala Lumpur-Wilayah Persekutuan-50000
BO-2023-5437531,Second Class,Hero Van,2023-05-08,2023-06-07,Late,George Town-Penang-10200
BO-2023-5637608,Second Class,Hero Van,2023-05-03,2023-05-23,On time,Johor Bahru-Johor-80000
BO-2023-5776514,Standard Class,Parcel Express,2023-05-25,2023-06-04,Early,Kota Kinabalu-Sabah-88000
BO-2023-5789969,Standard Class,HomeLaju,2023-05-04,2023-05-14,Early,Kuching-Sarawak-93000
BO-2023-5852193,Standard Class,HomeLaju,2023-05-19,2023-05-29,Early,Kuala Lumpur-Wilayah Persekutuan-50000
BO-2023-5883756,First Class,Hero Van,2023-05-07,2023-06-06,Late,George Town-Penang-10200
BO-2023-5920649,Standard Class,HomeLaju,2023-05-15,2023-05-25,Early,Johor Bahru-Johor-80000
BO-2023-62372,Standard Class,Parcel Express,2023-05-05,2023-05-15,Early,Kota Kinabalu-Sabah-88000
BO-2023-742197,Standard Class,HomeLaju,2023-05-14,2023-06-03,On time,Kuching-Sarawak-93000
BO-2023-774211,Standard Class,Parcel Express,2023-05-17,2023-06-06,On time,Kuala Lumpur-Wilayah Persekutuan-50000
BO-2023-852975,Standard Class,HomeLaju,2023-05-03,2023-05-13,Early,George Town-Penang-10200
BU-2023-1076500,Standard Class,Hero Van,2023-05-01,2023-05-21,On time,Johor Bahru-Johor-80000
BU-2023-1164476,Standard Class,Parcel Express,2023-05-02,2023-05-22,On time,Kota Kinabalu-Sabah-88000
BU-2023-1216662,Standard Class,Hero Van,2023-05-07,2023-06-06,Late,Kuching-Sarawak-93000
BU-2023-1529128,Second Class,Parcel Express,2023-05-01,2023-05-21,On time,Kuala Lumpur-Wilayah Persekutuan-50000
BU-2023-1540027,First Class,Hero Van,2023-05-03,2023-05-13,Early,George Town-Penang-10200
BU-2023-1541433,First Class,Hero Van,2023-05-25,2023-06-04,Early,Johor Bahru-Johor-80000
BU-2023-2045774,First Class,Parcel Express,2023-05-24,2023-06-23,Late,Kota Kinabalu-Sabah-88000
BU-2023-2237911,First Class,Hero Van,2023-05-22,2023-06-11,On time,Kuching-Sarawak-93000
BU-2023-257031,First Class,HomeLaju,2023-05-13,2023-06-02,On time,Kuala Lumpur-Wilayah Persekutuan-50000
BU-2023-3281118,Second Class,HomeLaju,2023-05-17,2023-05-27,Early,George Town-Penang-10200
BU-2023-3732131,Second Class,Hero Van,2023-05-10,2023-05-30,On time,Johor Bahru-Johor-80000
BU-2023-3881043,Second Class,Parcel Express,2023-05-13,2023-05-23,Early,Kota Kinabalu-Sabah-88000
BU-2023-3934899,Second Class,Hero Van,2023-05-09,2023-06-08,Late,Kuching-Sarawak-93000
BU-2023-4658077,Second Class,Hero Van,2023-05-26,2023-06-15,On time,Kuala Lumpur-Wilayah Persekutuan-50000
BU-2023-4716716,Second Class,Parcel Express,2023-05-19,2023-06-18,Late,George Town-Penang-10200
BU-2023-512067,Standard Class,Hero Van,2023-05-14,2023-05-24,Early,Johor Bahru-Johor-80000
BU-2023-5214376,Standard Class,Hero Van,2023-05-20,2023-05-30,Early,Kota Kinabalu-Sabah-88000
BU-2023-5942352,Second Class,Hero Van,2023-05-17,2023-06-06,On time,Kuching-Sarawak-93000
BU-2023-60048,Second Class,Parcel Express,2023-05-09,2023-05-19,Early,Kuala Lumpur-Wilayah Persekutuan-50000
BU-2023-8530,Second Class,Hero Van,2023-05-15,2023-05-25,Early,George Town-Penang-10200
BU-2023-9020,Second Class,Hero Van,2023-05-24,2023-06-13,On time,Johor Bahru-Johor-80000
BU-2023-9200,Second Class,HomeLaju,2023-05-26,2023-06-25,Late,Kota Kinabalu-Sabah-88000
CA-2023-1000984,Standard Class,Hero Van,2023-05-08,2023-05-28,On time,Kuching-Sarawak-93000
CA-2023-100111,Standard Class,Parcel Express,2023-05-19,2023-06-18,Late,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-100384,Standard Class,Parcel Express,2023-05-23,2023-06-22,Late,George Town-Penang-10200
CA-2023-1004610,Standard Class,Hero Van,2023-05-28,2023-06-17,On time,Johor Bahru-Johor-80000
CA-2023-1004993,Standard Class,Parcel Express,2023-05-23,2023-06-02,Early,Kota Kinabalu-Sabah-88000
CA-2023-100524,First Class,Hero Van,2023-05-15,2023-05-25,Early,Kuching-Sarawak-93000
CA-2023-1007927,First Class,HomeLaju,2023-05-24,2023-06-23,Late,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1008685,First Class,Parcel Express,2023-05-19,2023-05-29,Early,George Town-Penang-10200
CA-2023-100902,First Class,Parcel Express,2023-05-16,2023-06-15,Late,Johor Bahru-Johor-80000
CA-2023-1010553,First Class,Hero Van,2023-05-20,2023-06-09,On time,Kota Kinabalu-Sabah-88000
CA-2023-1010817,Standard Class,Hero Van,2023-05-09,2023-05-29,On time,Kuching-Sarawak-93000
CA-2023-1010929,Standard Class,HomeLaju,2023-05-13,2023-06-02,On time,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1011316,Standard Class,Hero Van,2023-05-12,2023-06-11,Late,George Town-Penang-10200
CA-2023-1012326,Standard Class,Hero Van,2023-05-11,2023-06-10,Late,Johor Bahru-Johor-80000
CA-2023-1012858,Standard Class,Parcel Express,2023-05-21,2023-06-10,On time,Kota Kinabalu-Sabah-88000
CA-2023-1014386,First Class,HomeLaju,2023-05-13,2023-05-23,Early,Kuching-Sarawak-93000
CA-2023-1015530,First Class,Parcel Express,2023-05-15,2023-06-04,On time,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1015570,Standard Class,HomeLaju,2023-05-19,2023-05-29,Early,George Town-Penang-10200
CA-2023-1016214,Standard Class,Hero Van,2023-05-09,2023-05-29,On time,Johor Bahru-Johor-80000
CA-2023-1016393,Standard Class,HomeLaju,2023-05-18,2023-06-17,Late,Kota Kinabalu-Sabah-88000
CA-2023-101798,Standard Class,Parcel Express,2023-05-01,2023-05-21,On time,Kuching-Sarawak-93000
CA-2023-1022497,Standard Class,Parcel Express,2023-05-27,2023-06-26,Late,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1022915,Same Day,HomeLaju,2023-05-25,2023-06-14,On time,George Town-Penang-10200
CA-2023-102610,Same Day,HomeLaju,2023-05-28,2023-06-17,On time,Johor Bahru-Johor-80000
CA-2023-1026117,Same Day,HomeLaju,2023-05-13,2023-05-23,Early,Kota Kinabalu-Sabah-88000
CA-2023-1026366,Same Day,Hero Van,2023-05-07,2023-05-17,Early,Kuching-Sarawak-93000
CA-2023-102659,Standard Class,Parcel Express,2023-05-26,2023-06-15,On time,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-102736,Standard Class,Parcel Express,2023-05-16,2023-05-26,Early,George Town-Penang-10200
CA-2023-1028358,Standard Class,Parcel Express,2023-05-11,2023-06-10,Late,Johor Bahru-Johor-80000
CA-2023-1029238,Standard Class,Hero Van,2023-05-02,2023-05-22,On time,Kota Kinabalu-Sabah-88000
CA-2023-102974,Standard Class,Hero Van,2023-05-16,2023-06-15,Late,Kuching-Sarawak-93000
CA-2023-1031148,Standard Class,Hero Van,2023-05-26,2023-06-15,On time,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1032002,First Class,Hero Van,2023-05-24,2023-06-03,Early,George Town-Penang-10200
CA-2023-1033102,Standard Class,HomeLaju,2023-05-25,2023-06-14,On time,Johor Bahru-Johor-80000
CA-2023-103380,Standard Class,Parcel Express,2023-05-21,2023-06-20,Late,Kota Kinabalu-Sabah-88000
CA-2023-1035217,Standard Class,Parcel Express,2023-05-28,2023-06-17,On time,Kuching-Sarawak-93000
CA-2023-1035628,Standard Class,Hero Van,2023-05-11,2023-05-21,Early,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-10362,First Class,Hero Van,2023-05-06,2023-06-05,Late,George Town-Penang-10200
CA-2023-1039002,First Class,Hero Van,2023-05-13,2023-05-23,Early,Johor Bahru-Johor-80000
CA-2023-104147,Second Class,HomeLaju,2023-05-12,2023-06-01,On time,Kota Kinabalu-Sabah-88000
CA-2023-1042771,Standard Class,Hero Van,2023-05-01,2023-05-31,Late,Kuching-Sarawak-93000
CA-2023-1043853,Standard Class,Parcel Express,2023-05-15,2023-06-04,On time,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-104731,Standard Class,Hero Van,2023-05-25,2023-06-14,On time,George Town-Penang-10200
CA-2023-104864,Standard Class,Hero Van,2023-05-23,2023-06-02,Early,Johor Bahru-Johor-80000
CA-2023-104885,First Class,Hero Van,2023-05-02,2023-05-12,Early,Kota Kinabalu-Sabah-88000
CA-2023-1049505,Standard Class,HomeLaju,2023-05-08,2023-05-18,Early,Kuching-Sarawak-93000
CA-2023-1052349,Standard Class,Hero Van,2023-05-02,2023-05-12,Early,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1054265,Second Class,Hero Van,2023-05-01,2023-05-31,Late,George Town-Penang-10200
CA-2023-1055433,Second Class,Hero Van,2023-05-19,2023-05-29,Early,Johor Bahru-Johor-80000
CA-2023-1056445,Second Class,HomeLaju,2023-05-26,2023-06-25,Late,Kota Kinabalu-Sabah-88000
CA-2023-1057347,Standard Class,Parcel Express,2023-05-05,2023-05-15,Early,Kuching-Sarawak-93000
CA-2023-1057633,Second Class,Parcel Express,2023-05-16,2023-06-05,On time,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1059615,Second Class,Parcel Express,2023-05-03,2023-05-13,Early,George Town-Penang-10200
CA-2023-1060456,Standard Class,Parcel Express,2023-05-12,2023-06-01,On time,Johor Bahru-Johor-80000
CA-2023-106304,Second Class,Parcel Express,2023-05-09,2023-05-19,Early,Kota Kinabalu-Sabah-88000
CA-2023-1063574,Second Class,HomeLaju,2023-05-28,2023-06-17,On time,Kuching-Sarawak-93000
CA-2023-1063658,Second Class,Hero Van,2023-05-03,2023-06-02,Late,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-106859,Second Class,Hero Van,2023-05-21,2023-05-31,Early,George Town-Penang-10200
CA-2023-1069647,First Class,HomeLaju,2023-05-05,2023-06-04,Late,Johor Bahru-Johor-80000
CA-2023-1070441,Standard Class,Hero Van,2023-05-17,2023-06-06,On time,Kota Kinabalu-Sabah-88000
CA-2023-1070461,Standard Class,Parcel Express,2023-05-04,2023-05-14,Early,Kuching-Sarawak-93000
CA-2023-107244,Standard Class,HomeLaju,2023-05-13,2023-06-12,Late,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1072465,Standard Class,Parcel Express,2023-05-21,2023-06-10,On time,George Town-Penang-10200
CA-2023-107265,Standard Class,Parcel Express,2023-05-21,2023-06-20,Late,Johor Bahru-Johor-80000
CA-2023-107321,Standard Class,Parcel Express,2023-05-19,2023-06-08,On time,Kota Kinabalu-Sabah-88000
CA-2023-1074612,Standard Class,Hero Van,2023-05-19,2023-05-29,Early,Kuching-Sarawak-93000
CA-2023-107832,Standard Class,Parcel Express,2023-05-28,2023-06-07,Early,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1078798,Standard Class,Hero Van,2023-05-13,2023-05-23,Early,George Town-Penang-10200
CA-2023-1080633,Standard Class,HomeLaju,2023-05-23,2023-06-22,Late,Johor Bahru-Johor-80000
CA-2023-1082995,Standard Class,Hero Van,2023-05-12,2023-06-01,On time,Kota Kinabalu-Sabah-88000
CA-2023-1083362,Standard Class,HomeLaju,2023-05-25,2023-06-04,Early,Kuching-Sarawak-93000
CA-2023-1083973,Standard Class,Parcel Express,2023-05-25,2023-06-14,On time,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1084426,Standard Class,HomeLaju,2023-05-10,2023-06-09,Late,George Town-Penang-10200
CA-2023-1084829,Standard Class,HomeLaju,2023-05-14,2023-05-24,Early,Johor Bahru-Johor-80000
CA-2023-1085377,Standard Class,Parcel Express,2023-05-11,2023-05-31,On time,Kota Kinabalu-Sabah-88000
CA-2023-1085421,Standard Class,HomeLaju,2023-05-28,2023-06-17,On time,Kuching-Sarawak-93000
CA-2023-1085499,Standard Class,Hero Van,2023-05-25,2023-06-04,Early,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1085509,First Class,Parcel Express,2023-05-05,2023-05-25,On time,George Town-Penang-10200
CA-2023-108749,Standard Class,HomeLaju,2023-05-18,2023-05-28,Early,Johor Bahru-Johor-80000
CA-2023-108854,Standard Class,Hero Van,2023-05-07,2023-05-17,Early,Kota Kinabalu-Sabah-88000
CA-2023-108854,Second Class,HomeLaju,2023-05-21,2023-06-10,On time,Kuching-Sarawak-93000
CA-2023-109085,Second Class,Parcel Express,2023-05-28,2023-06-27,Late,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1094411,Second Class,Hero Van,2023-05-13,2023-05-23,Early,George Town-Penang-10200
CA-2023-1094944,First Class,Parcel Express,2023-05-22,2023-06-21,Late,Johor Bahru-Johor-80000
CA-2023-1096170,Standard Class,Hero Van,2023-05-11,2023-05-31,On time,Kota Kinabalu-Sabah-88000
CA-2023-109879,Standard Class,Hero Van,2023-05-19,2023-06-08,On time,Kuching-Sarawak-93000
CA-2023-1099181,Standard Class,Hero Van,2023-05-06,2023-05-26,On time,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-109960,Standard Class,HomeLaju,2023-05-24,2023-06-13,On time,George Town-Penang-10200
CA-2023-110310,Standard Class,Parcel Express,2023-05-20,2023-06-09,On time,Johor Bahru-Johor-80000
CA-2023-1103130,First Class,HomeLaju,2023-05-18,2023-06-17,Late,Kota Kinabalu-Sabah-88000
CA-2023-1103846,Standard Class,Hero Van,2023-05-12,2023-06-11,Late,Kuching-Sarawak-93000
CA-2023-110443,Standard Class,HomeLaju,2023-05-22,2023-06-01,Early,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-110443,Second Class,Parcel Express,2023-05-03,2023-05-23,On time,George Town-Penang-10200
CA-2023-1106543,Second Class,Hero Van,2023-05-16,2023-05-26,Early,Johor Bahru-Johor-80000
CA-2023-1108911,Standard Class,Parcel Express,2023-05-17,2023-06-16,Late,Kota Kinabalu-Sabah-88000
CA-2023-1114156,Second Class,HomeLaju,2023-05-26,2023-06-05,Early,Kuching-Sarawak-93000
CA-2023-1114248,Second Class,Hero Van,2023-05-03,2023-05-23,On time,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1114386,Second Class,Hero Van,2023-05-06,2023-05-26,On time,George Town-Penang-10200
CA-2023-111815,Second Class,HomeLaju,2023-05-28,2023-06-27,Late,Johor Bahru-Johor-80000
CA-2023-111946,Second Class,HomeLaju,2023-05-21,2023-06-10,On time,Kota Kinabalu-Sabah-88000
CA-2023-1119497,Second Class,Parcel Express,2023-05-14,2023-06-03,On time,Kuching-Sarawak-93000
CA-2023-1119892,Second Class,Hero Van,2023-05-05,2023-05-15,Early,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1120389,Second Class,Hero Van,2023-05-21,2023-06-20,Late,George Town-Penang-10200
CA-2023-1121669,Second Class,Parcel Express,2023-05-19,2023-06-18,Late,Johor Bahru-Johor-80000
CA-2023-1127125,Second Class,Hero Van,2023-05-15,2023-06-04,#DIV/0!,Kota Kinabalu-Sabah-88000
CA-2023-1127883,Second Class,Parcel Express,2023-05-02,2023-05-12,#DIV/0!,Kuching-Sarawak-93000
CA-2023-1130628,Second Class,Parcel Express,2023-05-01,2023-05-11,#DIV/0!,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1131593,Second Class,Hero Van,2023-05-06,2023-06-05,#DIV/0!,George Town-Penang-10200
CA-2023-1132256,Second Class,Hero Van,2023-05-17,2023-05-27,#DIV/0!,Johor Bahru-Johor-80000
CA-2023-1132260,Standard Class,HomeLaju,2023-05-07,2023-05-27,#DIV/0!,Kota Kinabalu-Sabah-88000
CA-2023-1133774,Standard Class,Hero Van,2023-05-05,2023-06-04,#DIV/0!,Kuching-Sarawak-93000
CA-2023-1135543,Standard Class,Hero Van,2023-05-09,2023-05-29,#DIV/0!,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-113705,Standard Class,Hero Van,2023-05-06,2023-05-26,#DIV/0!,George Town-Penang-10200
CA-2023-1140126,Standard Class,Parcel Express,2023-05-18,2023-05-28,#DIV/0!,Johor Bahru-Johor-80000
CA-2023-1141093,Standard Class,Parcel Express,2023-05-27,2023-06-16,#DIV/0!,Kota Kinabalu-Sabah-88000
CA-2023-1142732,Standard Class,Hero Van,2023-05-28,2023-06-17,#DIV/0!,Kuching-Sarawak-93000
CA-2023-1143635,Standard Class,HomeLaju,2023-05-04,2023-05-24,#DIV/0!,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-114370,Standard Class,Parcel Express,2023-05-22,2023-06-01,#DIV/0!,George Town-Penang-10200
CA-2023-1144834,Standard Class,Hero Van,2023-05-13,2023-06-02,#DIV/0!,Johor Bahru-Johor-80000
CA-2023-1145866,Standard Class,Parcel Express,2023-05-20,2023-06-09,#DIV/0!,Kota Kinabalu-Sabah-88000
CA-2023-1147219,Standard Class,HomeLaju,2023-05-12,2023-06-11,#DIV/0!,Kuching-Sarawak-93000
CA-2023-1149191,Standard Class,Parcel Express,2023-05-23,2023-06-22,#DIV/0!,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1151233,Standard Class,HomeLaju,2023-05-28,2023-06-07,#DIV/0!,George Town-Penang-10200
CA-2023-1152900,Standard Class,Parcel Express,2023-05-22,2023-06-11,#DIV/0!,Johor Bahru-Johor-80000
CA-2023-1153035,Standard Class,Parcel Express,2023-05-11,2023-05-21,Early,Kota Kinabalu-Sabah-88000
CA-2023-115427,Second Class,HomeLaju,2023-05-27,2023-06-16,On time,Kuching-Sarawak-93000
CA-2023-1155084,Standard Class,HomeLaju,2023-05-16,2023-05-26,Early,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-115602,Second Class,HomeLaju,2023-05-15,2023-06-14,Late,George Town-Penang-10200
CA-2023-1156908,Second Class,HomeLaju,2023-05-12,2023-06-11,Late,Johor Bahru-Johor-80000
CA-2023-1158452,Second Class,Hero Van,2023-05-21,2023-06-10,On time,Kota Kinabalu-Sabah-88000
CA-2023-115882,Second Class,HomeLaju,2023-05-10,2023-05-30,On time,Kuching-Sarawak-93000
CA-2023-1159005,Second Class,Hero Van,2023-05-14,2023-05-24,Early,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1161176,Second Class,HomeLaju,2023-05-25,2023-06-14,On time,George Town-Penang-10200
CA-2023-1162512,Standard Class,HomeLaju,2023-05-27,2023-06-06,Early,Johor Bahru-Johor-80000
CA-2023-1164127,Standard Class,Hero Van,2023-05-20,2023-05-30,Early,Kota Kinabalu-Sabah-88000
CA-2023-1164286,Standard Class,Parcel Express,2023-05-25,2023-06-24,Late,Kuching-Sarawak-93000
CA-2023-1164915,Standard Class,HomeLaju,2023-05-12,2023-05-22,Early,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1166813,Standard Class,Parcel Express,2023-05-16,2023-06-05,On time,George Town-Penang-10200
CA-2023-116715,Standard Class,HomeLaju,2023-05-21,2023-05-31,Early,Johor Bahru-Johor-80000
CA-2023-1168933,Standard Class,HomeLaju,2023-05-12,2023-06-01,On time,Kota Kinabalu-Sabah-88000
CA-2023-116946,First Class,Parcel Express,2023-05-04,2023-06-03,Late,Kuching-Sarawak-93000
CA-2023-1170039,First Class,Hero Van,2023-05-18,2023-06-07,On time,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-117009,First Class,HomeLaju,2023-05-24,2023-06-13,On time,George Town-Penang-10200
CA-2023-1170997,First Class,HomeLaju,2023-05-21,2023-05-31,Early,Johor Bahru-Johor-80000
CA-2023-1171347,Second Class,HomeLaju,2023-05-14,2023-06-03,On time,Kota Kinabalu-Sabah-88000
CA-2023-1171363,Second Class,Parcel Express,2023-05-20,2023-06-09,On time,Kuching-Sarawak-93000
CA-2023-1171790,Second Class,Parcel Express,2023-05-21,2023-05-31,Early,Kuala Lumpur-Wilayah Persekutuan-50000
CA-2023-1173929,Standard Class,Parcel Express,2023-05-11,2023-05-31,On time,George Town-Penang-10200
CA-2023-117394,Standard Class,Parcel Express,2023-05-22,2023-06-21,Late,Johor Bahru-Johor-80000
CA-2023-1174035,Standard Class,HomeLaju,2023-05-19,2023-06-08,On time,Kota Kinabalu-Sabah-88000
CA-2023-1175362,Second Class,Hero Van,2023-05-07,2023-05-27,On time,Kuching-Sarawak-93000
