Order ID,Order Date,Ship Code,Ship Reference Number,Shipping ID,Payment method,Customer ID,Product Category ID,Sales,Quantity,Discount,Profit
OD0231,2023-05-04,AU-2023,5531389,AU-2023-5531389,Visa,CS0231,OS003,18.648,7,0.7,-12.432
OD0232,2023-05-07,AU-2023,5569864,AU-2023-5569864,Mastercard,CS0232,FUR004,233.86,2,0.45,-102.048
OD0233,2023-05-10,AU-2023,5712645,AU-2023-5712645,Mastercard,CS0233,FUR004,620.6145,3,0.45,-248.2458
OD0234,2023-05-24,AU-2023,5718633,AU-2023-5718633,Visa,CS0234,OS003,5.328,2,0.7,-3.552
OD0235,2023-05-06,AU-2023,5830843,AU-2023-5830843,Visa,CS0235,FUR003,258.072,3,0.2,0
OD0236,2023-05-28,AU-2023,5963820,AU-2023-5963820,Mastercard,CS0236,TEC001,617.976,3,0.2,-7.7247
OD0237,2023-05-11,AU-2023,643177,AU-2023-643177,Mastercard,CS0237,OS007,10.56,2,0,4.752
OD0238,2023-05-12,AU-2023,760452,AU-2023-760452,Visa,CS0238,OS007,25.92,5,0.2,9.396
OD0239,2023-05-04,AU-2023,763302,AU-2023-763302,Mastercard,CS0239,FUR003,419.68,5,0.6,-356.728
OD0240,2023-05-21,AU-2023,859763,AU-2023-859763,Mastercard,CS0240,FUR003,11.688,3,0.6,-4.6752
OD0241,2023-05-08,BK-2023,2509707,BK-2023-2509707,E-wallet,CS0241,TEC004,31.984,2,0.2,11.1944
OD0242,2023-05-24,BK-2023,2770,BK-2023-2770,Mastercard,CS0242,FUR004,177.225,5,0.5,-120.513
OD0243,2023-05-12,BK-2023,3520935,BK-2023-3520935,Mastercard,CS0243,FUR003,4.044,3,0.6,-2.8308
OD0244,2023-05-04,BK-2023,4385709,BK-2023-4385709,E-wallet,CS0244,OS002,7.408,2,0.2,1.2038
OD0245,2023-05-10,BK-2023,5161253,BK-2023-5161253,Visa,CS0245,FUR002,2001.86,7,0,580.5394
OD0246,2023-05-10,BK-2023,5265340,BK-2023-5265340,Mastercard,CS0246,OS008,166.72,2,0,41.68
OD0247,2023-05-07,BK-2023,5475017,BK-2023-5475017,E-wallet,CS0247,OS007,47.88,6,0,23.94
OD0248,2023-05-07,BK-2023,5816680,BK-2023-5816680,E-wallet,CS0248,OS001,1503.25,5,0,496.0725
OD0249,2023-05-17,BK-2023,748862,BK-2023-748862,Visa,CS0249,OS007,25.92,4,0,12.4416
OD0250,2023-05-10,BN-2023,1313270,BN-2023-1313270,Mastercard,CS0250,FUR002,321.568,2,0.2,28.1372
OD0251,2023-05-19,BN-2023,1814595,BN-2023-1814595,Mastercard,CS0251,OS007,7.61,1,0,3.5767
OD0252,2023-05-15,BN-2023,1960906,BN-2023-1960906,Mastercard,CS0252,TEC001,3347.37,13,0,636.0003
OD0253,2023-05-19,BN-2023,2049873,BN-2023-2049873,Mastercard,CS0253,OS008,80.58,6,0,22.5624
OD0254,2023-05-28,BN-2023,2277499,BN-2023-2277499,E-wallet,CS0254,OS004,361.92,4,0,162.864
OD0255,2023-05-01,BN-2023,335591,BN-2023-335591,Mastercard,CS0255,FUR003,12.132,9,0.6,-8.4924
OD0256,2023-05-02,BN-2023,3464509,BN-2023-3464509,Mastercard,CS0256,OS008,82.368,2,0.2,-19.5624
OD0257,2023-05-21,BN-2023,3567608,BN-2023-3567608,Visa,CS0257,OS008,53.92,5,0.2,4.044
OD0258,2023-05-12,BN-2023,3583902,BN-2023-3583902,Visa,CS0258,TEC004,647.904,6,0.2,56.6916
OD0259,2023-05-21,BN-2023,3628043,BN-2023-3628043,E-wallet,CS0259,TEC001,20.37,3,0,6.9258
OD0260,2023-05-16,BN-2023,4054005,BN-2023-4054005,Visa,CS0260,OS008,221.55,3,0,6.6465
OD0261,2023-05-03,BN-2023,4718296,BN-2023-4718296,Mastercard,CS0261,OS003,17.52,5,0.2,6.132
OD0262,2023-05-01,BN-2023,4860,BN-2023-4860,Mastercard,CS0262,OS001,1.624,2,0.8,-4.466
OD0263,2023-05-17,BN-2023,5063629,BN-2023-5063629,Mastercard,CS0263,TEC003,3059.982,3,0.4,-509.997
OD0264,2023-05-05,BN-2023,5193109,BN-2023-5193109,Visa,CS0264,TEC003,2519.958,7,0.4,-251.9958
OD0265,2023-05-20,BN-2023,5551356,BN-2023-5551356,Visa,CS0265,TEC004,328.224,4,0.2,28.7196
OD0266,2023-05-27,BN-2023,5575087,BN-2023-5575087,Visa,CS0266,TEC001,79.9,2,0,35.156
OD0267,2023-05-01,BN-2023,5873034,BN-2023-5873034,Mastercard,CS0267,OS002,14.016,3,0.2,4.7304
OD0268,2023-05-17,BN-2023,9200,BN-2023-9200,Visa,CS0268,OS005,7.56,6,0,0.3024
OD0269,2023-05-01,BO-2023,1048239,BO-2023-1048239,Mastercard,CS0269,OS008,37.208,1,0.2,-7.4416
OD0270,2023-05-24,BO-2023,1148025,BO-2023-1148025,Visa,CS0270,OS004,57.576,3,0.2,21.591
OD0271,2023-05-16,BO-2023,1332008,BO-2023-1332008,E-wallet,CS0271,OS008,725.84,4,0,210.4936
OD0272,2023-05-02,BO-2023,1426768,BO-2023-1426768,Mastercard,CS0272,TEC001,209.93,7,0,92.3692
OD0273,2023-05-05,BO-2023,1589068,BO-2023-1589068,Mastercard,CS0273,FUR003,5.28,3,0,2.3232
OD0274,2023-05-04,BO-2023,170,BO-2023-170,Visa,CS0274,OS003,10.92,3,0.2,4.095
OD0275,2023-05-06,BO-2023,1830824,BO-2023-1830824,Mastercard,CS0275,OS007,8.82,2,0,4.0572
OD0276,2023-05-26,BO-2023,185796,BO-2023-185796,Mastercard,CS0276,OS002,5.98,1,0,1.5548
OD0277,2023-05-08,BO-2023,1892122,BO-2023-1892122,Mastercard,CS0277,OS007,11.648,2,0.2,4.0768
OD0278,2023-05-19,BO-2023,1955891,BO-2023-1955891,Mastercard,CS0278,OS007,18.176,4,0.2,5.9072
OD0279,2023-05-11,BO-2023,2318226,BO-2023-2318226,Visa,CS0279,OS008,59.712,6,0.2,5.9712
OD0280,2023-05-09,BO-2023,2349990,BO-2023-2349990,Mastercard,CS0280,OS006,24.84,3,0.2,8.694
OD0281,2023-05-27,BO-2023,2351336,BO-2023-2351336,Mastercard,CS0281,OS003,2.08,5,0.8,-3.432
OD0282,2023-05-17,BO-2023,2398655,BO-2023-2398655,Mastercard,CS0282,TEC004,1114.4,7,0.2,376.11
OD0283,2023-05-23,BO-2023,265739,BO-2023-265739,Visa,CS0283,FUR004,1038.84,5,0.2,51.942
OD0284,2023-05-22,BO-2023,2670,BO-2023-2670,Mastercard,CS0284,OS007,141.76,5,0.2,47.844
OD0285,2023-05-26,BO-2023,2761829,BO-2023-2761829,Visa,CS0285,TEC001,239.8,5,0.2,47.96
OD0286,2023-05-12,BO-2023,2932381,BO-2023-2932381,Mastercard,CS0286,OS007,31.104,6,0.2,10.8864
OD0287,2023-05-18,BO-2023,3061799,BO-2023-3061799,Mastercard,CS0287,OS003,254.058,7,0.7,-169.372
OD0288,2023-05-28,BO-2023,3064036,BO-2023-3064036,Mastercard,CS0288,OS001,194.528,2,0.2,24.316
OD0289,2023-05-06,BO-2023,325479,BO-2023-325479,E-wallet,CS0289,OS009,961.48,5,0.2,-204.3145
OD0290,2023-05-20,BO-2023,3381720,BO-2023-3381720,Visa,CS0290,OS005,19.096,7,0.2,6.6836
OD0291,2023-05-06,BO-2023,344515,BO-2023-344515,Visa,CS0291,OS006,18.496,8,0.2,6.2424
OD0292,2023-05-26,BO-2023,3541022,BO-2023-3541022,Mastercard,CS0292,TEC001,255.984,2,0.2,54.3966
OD0293,2023-05-16,BO-2023,3552012,BO-2023-3552012,Visa,CS0293,FUR001,86.97,3,0.5,-48.7032
OD0294,2023-05-23,BO-2023,364086,BO-2023-364086,Visa,CS0294,FUR003,300.416,8,0.2,78.8592
OD0295,2023-05-07,BO-2023,3688017,BO-2023-3688017,Visa,CS0295,FUR002,230.352,3,0.2,20.1558
OD0296,2023-05-13,BO-2023,3767839,BO-2023-3767839,Visa,CS0296,FUR003,218.352,3,0.2,-24.5646
OD0297,2023-05-16,BO-2023,3789990,BO-2023-3789990,Visa,CS0297,OS003,78.6,5,0.7,-62.88
OD0298,2023-05-21,BO-2023,3844715,BO-2023-3844715,Visa,CS0298,OS005,27.552,3,0.2,9.2988
OD0299,2023-05-24,BO-2023,3979097,BO-2023-3979097,Visa,CS0299,OS007,32.4,5,0,15.552
OD0300,2023-05-01,BO-2023,4218518,BO-2023-4218518,E-wallet,CS0300,OS008,1082.48,8,0,10.8248
OD0301,2023-05-08,BO-2023,4446438,BO-2023-4446438,E-wallet,CS0301,OS007,56.91,3,0,27.3168
OD0302,2023-05-27,BO-2023,4500982,BO-2023-4500982,Mastercard,CS0302,FUR003,77.6,4,0,38.024
OD0303,2023-05-27,BO-2023,4651945,BO-2023-4651945,Mastercard,CS0303,OS003,14.28,1,0,6.5688
OD0304,2023-05-11,BO-2023,4683526,BO-2023-4683526,Visa,CS0304,FUR004,219.075,3,0.5,-131.445
OD0305,2023-05-16,BO-2023,4734469,BO-2023-4734469,Mastercard,CS0305,FUR003,26.8,2,0,12.864
OD0306,2023-05-05,BO-2023,4975781,BO-2023-4975781,Visa,CS0306,OS002,9.84,3,0,2.8536
OD0307,2023-05-02,BO-2023,5095517,BO-2023-5095517,Mastercard,CS0307,OS003,45.48,3,0,20.9208
OD0308,2023-05-15,BO-2023,5117977,BO-2023-5117977,Visa,CS0308,OS002,289.2,6,0,83.868
OD0309,2023-05-06,BO-2023,5124365,BO-2023-5124365,E-wallet,CS0309,OS002,4.89,1,0,2.0049
OD0310,2023-05-21,BO-2023,5157791,BO-2023-5157791,E-wallet,CS0310,FUR003,15.136,4,0.2,3.5948
OD0311,2023-05-14,BO-2023,527935,BO-2023-527935,Mastercard,CS0311,FUR002,466.768,2,0.2,52.5114
OD0312,2023-05-08,BO-2023,5437531,BO-2023-5437531,Visa,CS0312,FUR003,15.232,1,0.2,1.7136
OD0313,2023-05-03,BO-2023,5637608,BO-2023-5637608,E-wallet,CS0313,OS006,6.264,3,0.2,2.0358
OD0314,2023-05-25,BO-2023,5776514,BO-2023-5776514,Mastercard,CS0314,FUR003,87.54,3,0,37.6422
OD0315,2023-05-04,BO-2023,5789969,BO-2023-5789969,Visa,CS0315,TEC004,178.384,2,0.2,22.298
OD0316,2023-05-19,BO-2023,5852193,BO-2023-5852193,Mastercard,CS0316,OS007,15.552,3,0.2,5.4432
OD0317,2023-05-07,BO-2023,5883756,BO-2023-5883756,Visa,CS0317,OS002,99.136,4,0.2,8.6744
OD0318,2023-05-15,BO-2023,5920649,BO-2023-5920649,Visa,CS0318,FUR002,135.882,1,0.1,24.1568
OD0319,2023-05-05,BO-2023,62372,BO-2023-62372,Visa,CS0319,TEC003,3991.98,2,0,1995.99
OD0320,2023-05-14,BO-2023,742197,BO-2023-742197,E-wallet,CS0320,TEC004,275.94,6,0,80.0226
OD0321,2023-05-17,BO-2023,774211,BO-2023-774211,Visa,CS0321,TEC001,360,4,0,129.6
OD0322,2023-05-03,BO-2023,852975,BO-2023-852975,Mastercard,CS0322,OS008,43.57,1,0,13.071
OD0323,2023-05-01,BU-2023,1076500,BU-2023-1076500,Visa,CS0323,OS005,7.16,2,0,3.58
OD0324,2023-05-02,BU-2023,1164476,BU-2023-1164476,Visa,CS0324,OS003,251.52,6,0.2,81.744
OD0325,2023-05-07,BU-2023,1216662,BU-2023-1216662,Visa,CS0325,TEC001,99.99,1,0,34.9965
OD0326,2023-05-01,BU-2023,1529128,BU-2023-1529128,Visa,CS0326,FUR003,15.992,1,0.2,0.9995
OD0327,2023-05-03,BU-2023,1540027,BU-2023-1540027,Mastercard,CS0327,TEC004,290.898,3,0.4,-67.8762
OD0328,2023-05-25,BU-2023,1541433,BU-2023-1541433,Visa,CS0328,OS008,54.224,2,0.2,3.389
OD0329,2023-05-24,BU-2023,2045774,BU-2023-2045774,Visa,CS0329,FUR002,786.744,4,0.3,-258.5016
OD0330,2023-05-22,BU-2023,2237911,BU-2023-2237911,Mastercard,CS0330,OS006,100.24,10,0.2,33.831
OD0331,2023-05-13,BU-2023,257031,BU-2023-257031,Visa,CS0331,OS003,37.764,6,0.7,-27.6936
OD0332,2023-05-17,BU-2023,3281118,BU-2023-3281118,Visa,CS0332,TEC004,82.8,2,0.4,-20.7
OD0333,2023-05-10,BU-2023,3732131,BU-2023-3732131,Mastercard,CS0333,OS003,20.724,2,0.7,-13.816
OD0334,2023-05-13,BU-2023,3881043,BU-2023-3881043,Mastercard,CS0334,OS003,4.896,3,0.7,-3.4272
OD0335,2023-05-09,BU-2023,3934899,BU-2023-3934899,Mastercard,CS0335,OS003,4.752,1,0.2,1.6038
OD0336,2023-05-26,BU-2023,4658077,BU-2023-4658077,Mastercard,CS0336,TEC002,959.984,2,0.2,335.9944
OD0337,2023-05-19,BU-2023,4716716,BU-2023-4716716,Mastercard,CS0337,OS003,14.368,4,0.2,4.49
OD0338,2023-05-14,BU-2023,512067,BU-2023-512067,Visa,CS0338,OS003,7.712,2,0.2,2.7956
OD0339,2023-05-20,BU-2023,5214376,BU-2023-5214376,Mastercard,CS0339,FUR004,698.352,3,0.2,-17.4588
OD0340,2023-05-17,BU-2023,5942352,BU-2023-5942352,Visa,CS0340,OS005,4.96,4,0,2.3312
OD0341,2023-05-09,BU-2023,60048,BU-2023-60048,Mastercard,CS0341,OS002,17.856,4,0.2,1.116
OD0342,2023-05-15,BU-2023,8530,BU-2023-8530,Mastercard,CS0342,OS003,509.97,10,0.7,-407.976
OD0343,2023-05-24,BU-2023,9020,BU-2023-9020,Visa,CS0343,OS005,30.992,13,0.2,10.0724
OD0344,2023-05-26,BU-2023,9200,BU-2023-9200,Mastercard,CS0344,TEC004,71.928,12,0.4,8.3916
OD0345,2023-05-08,CA-2023,1000984,CA-2023-1000984,Visa,CS0345,OS008,88.8,4,0.2,-2.22
OD0346,2023-05-19,CA-2023,100111,CA-2023-100111,Visa,CS0346,TEC004,47.976,3,0.2,4.7976
OD0347,2023-05-23,CA-2023,100384,CA-2023-100384,Mastercard,CS0347,OS002,7.56,3,0,3.0996
OD0348,2023-05-28,CA-2023,1004610,CA-2023-1004610,Mastercard,CS0348,OS007,24.56,2,0,11.5432
OD0349,2023-05-23,CA-2023,1004993,CA-2023-1004993,Mastercard,CS0349,OS002,12.96,2,0,4.1472
OD0350,2023-05-15,CA-2023,100524,CA-2023-100524,Visa,CS0350,TEC001,6.79,1,0,2.3086
OD0351,2023-05-24,CA-2023,1007927,CA-2023-1007927,Mastercard,CS0351,OS007,24.56,2,0,11.5432
OD0352,2023-05-19,CA-2023,1008685,CA-2023-1008685,Mastercard,CS0352,OS003,3.048,1,0.2,1.0668
OD0353,2023-05-16,CA-2023,100902,CA-2023-100902,E-wallet,CS0353,OS007,49.12,4,0,23.0864
OD0354,2023-05-20,CA-2023,1010553,CA-2023-1010553,Mastercard,CS0354,OS003,4355.168,4,0.2,1415.4296
OD0355,2023-05-09,CA-2023,1010817,CA-2023-1010817,Visa,CS0355,FUR001,388.704,6,0.2,-4.8588
OD0356,2023-05-13,CA-2023,1010929,CA-2023-1010929,Mastercard,CS0356,OS004,8.26,2,0,3.7996
OD0357,2023-05-12,CA-2023,1011316,CA-2023-1011316,Mastercard,CS0357,OS002,17.04,4,0,6.9864
OD0358,2023-05-11,CA-2023,1012326,CA-2023-1012326,E-wallet,CS0358,OS007,34.4,5,0,15.824
OD0359,2023-05-21,CA-2023,1012858,CA-2023-1012858,Mastercard,CS0359,OS007,36.24,5,0.2,11.325
OD0360,2023-05-13,CA-2023,1014386,CA-2023-1014386,Visa,CS0360,OS001,647.84,8,0,168.4384
OD0361,2023-05-15,CA-2023,1015530,CA-2023-1015530,Mastercard,CS0361,OS006,20.7,2,0,9.936
OD0362,2023-05-19,CA-2023,1015570,CA-2023-1015570,E-wallet,CS0362,OS006,20.7,2,0,9.936
OD0363,2023-05-09,CA-2023,1016214,CA-2023-1016214,Mastercard,CS0363,FUR002,488.646,3,0.1,86.8704
OD0364,2023-05-18,CA-2023,1016393,CA-2023-1016393,Visa,CS0364,OS002,5.56,2,0,1.4456
OD0365,2023-05-01,CA-2023,101798,CA-2023-101798,Mastercard,CS0365,FUR003,47.12,8,0,20.7328
OD0366,2023-05-27,CA-2023,1022497,CA-2023-1022497,Visa,CS0366,OS008,211.96,4,0,8.4784
OD0367,2023-05-25,CA-2023,1022915,CA-2023-1022915,Visa,CS0367,OS003,23.2,4,0,10.44
OD0368,2023-05-28,CA-2023,102610,CA-2023-102610,Visa,CS0368,OS009,7.36,2,0,0.1472
OD0369,2023-05-13,CA-2023,1026117,CA-2023-1026117,Visa,CS0369,OS008,104.79,7,0,29.3412
OD0370,2023-05-07,CA-2023,1026366,CA-2023-1026366,Mastercard,CS0370,FUR001,1043.92,4,0,271.4192
OD0371,2023-05-26,CA-2023,102659,CA-2023-102659,Mastercard,CS0371,OS007,25.92,5,0.2,9.396
OD0372,2023-05-16,CA-2023,102736,CA-2023-102736,Mastercard,CS0372,OS008,53.424,3,0.2,4.6746
OD0373,2023-05-11,CA-2023,1028358,CA-2023-1028358,Mastercard,CS0373,OS003,8.16,5,0.7,-5.712
OD0374,2023-05-02,CA-2023,1029238,CA-2023-1029238,Mastercard,CS0374,TEC001,1023.936,8,0.2,179.1888
OD0375,2023-05-16,CA-2023,102974,CA-2023-102974,Visa,CS0375,OS002,9.24,1,0.2,0.924
OD0376,2023-05-26,CA-2023,1031148,CA-2023-1031148,E-wallet,CS0376,TEC001,479.04,10,0.2,-29.94
OD0377,2023-05-24,CA-2023,1032002,CA-2023-1032002,Visa,CS0377,OS007,99.136,4,0.2,30.98
OD0378,2023-05-25,CA-2023,1033102,CA-2023-1033102,Mastercard,CS0378,FUR004,1488.424,7,0.3,-297.6848
OD0379,2023-05-21,CA-2023,103380,CA-2023-103380,Visa,CS0379,OS001,8.652,3,0.8,-20.3322
OD0380,2023-05-28,CA-2023,1035217,CA-2023-1035217,Mastercard,CS0380,OS008,23.832,3,0.2,2.6811
OD0381,2023-05-11,CA-2023,1035628,CA-2023-1035628,Mastercard,CS0381,OS003,12.176,4,0.8,-18.8728
OD0382,2023-05-06,CA-2023,10362,CA-2023-10362,Visa,CS0382,OS007,50.96,7,0,25.48
OD0383,2023-05-13,CA-2023,1039002,CA-2023-1039002,Mastercard,CS0383,OS003,49.536,3,0.2,17.3376
OD0384,2023-05-12,CA-2023,104147,CA-2023-104147,Mastercard,CS0384,TEC001,41.9,2,0,8.799
OD0385,2023-05-01,CA-2023,1042771,CA-2023-1042771,Mastercard,CS0385,FUR004,375.4575,3,0.45,-157.0095
OD0386,2023-05-15,CA-2023,1043853,CA-2023-1043853,Visa,CS0386,TEC001,83.976,3,0.2,-1.0497
OD0387,2023-05-25,CA-2023,104731,CA-2023-104731,Mastercard,CS0387,TEC003,482.34,4,0.7,-337.638
OD0388,2023-05-23,CA-2023,104864,CA-2023-104864,Visa,CS0388,FUR003,2.96,1,0.2,0.777
OD0389,2023-05-02,CA-2023,104885,CA-2023-104885,Visa,CS0389,OS002,2.624,1,0.2,0.4264
OD0390,2023-05-08,CA-2023,1049505,CA-2023-1049505,Visa,CS0390,OS003,23.36,4,0.2,7.884
OD0391,2023-05-02,CA-2023,1052349,CA-2023-1052349,Visa,CS0391,TEC001,39.98,2,0,13.5932
OD0392,2023-05-01,CA-2023,1054265,CA-2023-1054265,Visa,CS0392,TEC004,246.384,2,0.2,27.7182
OD0393,2023-05-19,CA-2023,1055433,CA-2023-1055433,Mastercard,CS0393,TEC002,1799.97,3,0,701.9883
OD0394,2023-05-26,CA-2023,1056445,CA-2023-1056445,Visa,CS0394,OS003,12.462,3,0.8,-20.5623
OD0395,2023-05-05,CA-2023,1057347,CA-2023-1057347,Visa,CS0395,OS003,75.792,3,0.2,25.5798
OD0396,2023-05-16,CA-2023,1057633,CA-2023-1057633,Visa,CS0396,OS008,49.96,2,0,9.4924
OD0397,2023-05-03,CA-2023,1059615,CA-2023-1059615,Visa,CS0397,OS007,12.96,2,0,6.2208
OD0398,2023-05-12,CA-2023,1060456,CA-2023-1060456,Mastercard,CS0398,OS009,70.12,4,0,21.036
OD0399,2023-05-09,CA-2023,106304,CA-2023-106304,Visa,CS0399,OS008,35.952,3,0.2,3.5952
OD0400,2023-05-28,CA-2023,1063574,CA-2023-1063574,Mastercard,CS0400,FUR001,2396.2656,4,0.32,-317.1528
OD0401,2023-05-03,CA-2023,1063658,CA-2023-1063658,Visa,CS0401,OS008,131.136,4,0.2,-32.784
OD0402,2023-05-21,CA-2023,106859,CA-2023-106859,Mastercard,CS0402,TEC001,57.584,2,0.2,0.7198
OD0403,2023-05-05,CA-2023,1069647,CA-2023-1069647,Mastercard,CS0403,OS007,9.568,2,0.2,3.4684
OD0404,2023-05-17,CA-2023,1070441,CA-2023-1070441,Visa,CS0404,OS002,39.072,6,0.2,9.768
OD0405,2023-05-04,CA-2023,1070461,CA-2023-1070461,E-wallet,CS0405,OS001,35.91,3,0,9.6957
OD0406,2023-05-13,CA-2023,107244,CA-2023-107244,Visa,CS0406,TEC001,179.95,5,0,37.7895
OD0407,2023-05-21,CA-2023,1072465,CA-2023-1072465,Visa,CS0407,TEC002,1199.976,3,0.2,434.9913
OD0408,2023-05-21,CA-2023,107265,CA-2023-107265,E-wallet,CS0408,OS007,27.15,5,0,13.3035
OD0409,2023-05-19,CA-2023,107321,CA-2023-107321,Mastercard,CS0409,FUR004,1004.024,7,0.2,-112.9527
OD0410,2023-05-19,CA-2023,1074612,CA-2023-1074612,Mastercard,CS0410,OS007,9.68,1,0,4.6464
OD0411,2023-05-28,CA-2023,107832,CA-2023-107832,Visa,CS0411,OS006,28.35,9,0,13.608
OD0412,2023-05-13,CA-2023,1078798,CA-2023-1078798,Visa,CS0412,OS007,55.98,1,0,27.4302
OD0413,2023-05-23,CA-2023,1080633,CA-2023-1080633,Mastercard,CS0413,FUR001,1336.829,13,0.15,31.4548
OD0414,2023-05-12,CA-2023,1082995,CA-2023-1082995,Mastercard,CS0414,FUR002,113.568,2,0.2,-18.4548
OD0415,2023-05-25,CA-2023,1083362,CA-2023-1083362,Visa,CS0415,OS007,139.86,7,0,65.7342
OD0416,2023-05-25,CA-2023,1083973,CA-2023-1083973,Visa,CS0416,FUR002,307.136,4,0.2,26.8744
OD0417,2023-05-10,CA-2023,1084426,CA-2023-1084426,Mastercard,CS0417,OS002,95.92,8,0,25.8984
OD0418,2023-05-14,CA-2023,1084829,CA-2023-1084829,Visa,CS0418,FUR002,383.8,5,0.2,38.38
OD0419,2023-05-11,CA-2023,1085377,CA-2023-1085377,Visa,CS0419,OS007,5.78,1,0,2.8322
OD0420,2023-05-28,CA-2023,1085421,CA-2023-1085421,Mastercard,CS0420,OS002,9.32,4,0,2.7028
OD0421,2023-05-25,CA-2023,1085499,CA-2023-1085499,Mastercard,CS0421,OS004,15.25,1,0,7.015
OD0422,2023-05-05,CA-2023,1085509,CA-2023-1085509,Mastercard,CS0422,TEC001,196.752,6,0.2,56.5662
OD0423,2023-05-18,CA-2023,108749,CA-2023-108749,Mastercard,CS0423,FUR003,56.56,4,0,14.7056
OD0424,2023-05-07,CA-2023,108854,CA-2023-108854,Visa,CS0424,OS008,32.7,3,0,8.502
OD0425,2023-05-21,CA-2023,108854,CA-2023-108854,Mastercard,CS0425,FUR002,866.4,4,0,225.264
OD0426,2023-05-28,CA-2023,109085,CA-2023-109085,Mastercard,CS0426,FUR003,28.4,2,0,11.076
OD0427,2023-05-13,CA-2023,1094411,CA-2023-1094411,Visa,CS0427,OS003,287.92,8,0,138.2016
OD0428,2023-05-22,CA-2023,1094944,CA-2023-1094944,Visa,CS0428,TEC003,69.99,1,0,30.0957
OD0429,2023-05-11,CA-2023,1096170,CA-2023-1096170,Mastercard,CS0429,OS002,6.672,6,0.2,0.5004
OD0430,2023-05-19,CA-2023,109879,CA-2023-109879,Visa,CS0430,OS003,189.588,2,0.7,-145.3508
OD0431,2023-05-06,CA-2023,1099181,CA-2023-1099181,Visa,CS0431,TEC001,408.744,7,0.2,76.6395
OD0432,2023-05-24,CA-2023,109960,CA-2023-109960,Mastercard,CS0432,TEC001,291.96,5,0.2,54.7425
OD0433,2023-05-20,CA-2023,110310,CA-2023-110310,Mastercard,CS0433,OS008,4.768,2,0.2,-0.7748
OD0434,2023-05-18,CA-2023,1103130,CA-2023-1103130,E-wallet,CS0434,OS008,714.3,5,0,207.147
OD0435,2023-05-12,CA-2023,1103846,CA-2023-1103846,Visa,CS0435,OS003,4.812,2,0.7,-3.6892
OD0436,2023-05-22,CA-2023,110443,CA-2023-110443,Mastercard,CS0436,TEC001,247.8,5,0.2,-18.585
OD0437,2023-05-03,CA-2023,110443,CA-2023-110443,Visa,CS0437,TEC003,1007.979,3,0.3,43.1991
OD0438,2023-05-16,CA-2023,1106543,CA-2023-1106543,Visa,CS0438,OS007,313.488,7,0.2,113.6394
OD0439,2023-05-17,CA-2023,1108911,CA-2023-1108911,Visa,CS0439,OS007,31.872,8,0.2,11.5536
OD0440,2023-05-26,CA-2023,1114156,CA-2023-1114156,Mastercard,CS0440,FUR002,207.846,3,0.1,2.3094
OD0441,2023-05-03,CA-2023,1114248,CA-2023-1114248,Visa,CS0441,FUR003,12.22,1,0,3.666
OD0442,2023-05-06,CA-2023,1114386,CA-2023-1114386,Visa,CS0442,OS008,194.94,3,0,23.3928
OD0443,2023-05-28,CA-2023,111815,CA-2023-111815,Mastercard,CS0443,OS008,70.95,3,0,20.5755
OD0444,2023-05-21,CA-2023,111946,CA-2023-111946,Mastercard,CS0444,OS007,91.36,4,0,42.0256
OD0445,2023-05-14,CA-2023,1119497,CA-2023-1119497,E-wallet,CS0445,FUR002,242.94,3,0,29.1528
OD0446,2023-05-05,CA-2023,1119892,CA-2023-1119892,Mastercard,CS0446,OS006,22.05,7,0,10.584
OD0447,2023-05-21,CA-2023,1120389,CA-2023-1120389,Mastercard,CS0447,FUR003,2.91,1,0,1.3677
OD0448,2023-05-19,CA-2023,1121669,CA-2023-1121669,Visa,CS0448,OS002,59.52,3,0,15.4752
OD0449,2023-05-15,CA-2023,1127125,CA-2023-1127125,Visa,CS0449,OS008,161.94,3,0,9.7164
OD0450,2023-05-02,CA-2023,1127883,CA-2023-1127883,Visa,CS0450,OS002,263.88,6,0,71.2476
OD0451,2023-05-01,CA-2023,1130628,CA-2023-1130628,E-wallet,CS0451,OS002,30.48,3,0,7.9248
OD0452,2023-05-06,CA-2023,1131593,CA-2023-1131593,Mastercard,CS0452,OS002,9.84,3,0,2.8536
OD0453,2023-05-17,CA-2023,1132256,CA-2023-1132256,Mastercard,CS0453,TEC004,35.12,4,0,9.1312
OD0454,2023-05-07,CA-2023,1132260,CA-2023-1132260,Mastercard,CS0454,FUR004,284.364,2,0.4,-75.8304
OD0455,2023-05-05,CA-2023,1133774,CA-2023-1133774,E-wallet,CS0455,OS008,665.408,2,0.2,66.5408
OD0456,2023-05-09,CA-2023,1135543,CA-2023-1135543,E-wallet,CS0456,TEC001,63.88,4,0,24.9132
OD0457,2023-05-06,CA-2023,113705,CA-2023-113705,Visa,CS0457,FUR002,129.568,2,0.2,-24.294
OD0458,2023-05-18,CA-2023,1140126,CA-2023-1140126,Visa,CS0458,FUR002,747.558,3,0.3,-96.1146
OD0459,2023-05-27,CA-2023,1141093,CA-2023-1141093,Mastercard,CS0459,OS004,8.928,2,0.2,3.348
OD0460,2023-05-28,CA-2023,1142732,CA-2023-1142732,Visa,CS0460,OS001,103.92,4,0,36.372
OD0461,2023-05-04,CA-2023,1143635,CA-2023-1143635,Mastercard,CS0461,TEC001,899.91,9,0,377.9622
